,2 years,5 years,10 years,20 years
2013-04-15,-0.047,0.122,0.699,1.142
2013-04-16,-0.054,0.099,0.68,1.123
2013-04-17,-0.059,0.102,0.683,1.129
2013-04-18,-0.074,0.087,0.675,1.113
2013-04-19,-0.071,0.088,0.668,1.11
2013-04-22,-0.069,0.089,0.664,1.102
2013-04-23,-0.099,0.056,0.631,1.068
2013-04-24,-0.072,0.083,0.658,1.107
2013-04-25,-0.055,0.071,0.642,1.097
2013-04-26,-0.075,0.062,0.641,1.089
2013-04-29,-0.085,0.05,0.63,1.081
2013-04-30,-0.079,0.048,0.612,1.06
2013-05-01,-0.079,0.048,0.612,1.06
2013-05-02,-0.074,0.065,0.634,1.066
2013-05-03,-0.068,0.052,0.611,1.059
2013-05-06,-0.085,0.071,0.625,1.077
2013-05-07,-0.065,0.049,0.614,1.057
2013-05-08,-0.057,0.087,0.628,1.062
2013-05-09,-0.057,0.087,0.628,1.062
2013-05-10,-0.057,0.084,0.637,1.053
2013-05-13,-0.067,0.09,0.653,1.074
2013-05-14,-0.062,0.099,0.664,1.082
2013-05-15,-0.038,0.134,0.69,1.105
2013-05-16,-0.04,0.123,0.675,1.082
2013-05-17,-0.075,0.11,0.675,1.091
2013-05-20,-0.075,0.11,0.675,1.091
2013-05-21,-0.071,0.114,0.694,1.107
2013-05-22,-0.069,0.135,0.687,1.095
2013-05-23,-0.062,0.113,0.688,1.1
2013-05-24,-0.055,0.132,0.703,1.113
2013-05-27,-0.072,0.124,0.701,1.109
2013-05-28,-0.074,0.137,0.704,1.115
2013-05-29,-0.067,0.172,0.772,1.19
2013-05-30,-0.003,0.178,0.771,1.193
2013-05-31,-0.06,0.176,0.76,1.171
2013-06-03,-0.037,0.191,0.78,1.191
2013-06-04,-0.049,0.231,0.818,1.219
2013-06-05,-0.016,0.227,0.838,1.263
2013-06-06,-0.013,0.216,0.826,1.256
2013-06-07,-0.033,0.25,0.835,1.241
2013-06-10,0.055,0.273,0.815,1.266
2013-06-11,-0.005,0.285,0.904,1.338
2013-06-12,0.021,0.346,0.954,1.359
2013-06-13,-0.03,0.299,0.902,1.32
2013-06-14,-0.044,0.286,0.902,1.332
2013-06-17,-0.029,0.27,0.889,1.32
2013-06-18,-0.051,0.283,0.898,1.324
2013-06-19,-0.038,0.271,0.886,1.315
2013-06-20,-0.013,0.315,0.947,1.374
2013-06-21,0.023,0.365,0.988,1.41
2013-06-24,0.035,0.431,1.061,1.478
2013-06-25,0.04,0.466,1.125,1.544
2013-06-26,0.026,0.456,1.112,1.523
2013-06-27,-0.01,0.42,1.089,1.509
2013-06-28,-0.006,0.407,1.06,1.48
2013-07-01,-0.001,0.421,1.075,1.488
2013-07-02,-0.014,0.411,1.078,1.494
2013-07-03,-0.023,0.38,1.04,1.461
2013-07-04,-0.029,0.386,1.057,1.486
2013-07-05,-0.055,0.354,1.038,1.471
2013-07-08,-0.047,0.399,1.111,1.559
2013-07-09,-0.034,0.397,1.109,1.556
2013-07-10,-0.019,0.383,1.093,1.561
2013-07-11,-0.031,0.396,1.1,1.551
2013-07-12,-0.034,0.366,1.065,1.516
2013-07-15,-0.029,0.377,1.066,1.505
2013-07-16,-0.017,0.386,1.072,1.511
2013-07-17,-0.008,0.409,1.08,1.51
2013-07-18,-0.035,0.377,1.059,1.494
2013-07-19,-0.02,0.354,1.03,1.472
2013-07-22,-0.03,0.36,1.033,1.466
2013-07-23,-0.027,0.369,1.034,1.462
2013-07-24,-0.02,0.395,1.071,1.501
2013-07-25,-0.004,0.395,1.106,1.572
2013-07-26,-0.029,0.391,1.094,1.542
2013-07-29,-0.028,0.386,1.09,1.548
2013-07-30,-0.033,0.375,1.081,1.532
2013-07-31,-0.013,0.4,1.097,1.543
2013-08-01,-0.013,0.4,1.097,1.543
2013-08-02,0.001,0.414,1.104,1.553
2013-08-05,-0.006,0.396,1.078,1.526
2013-08-06,0.008,0.424,1.116,1.563
2013-08-07,0.005,0.392,1.082,1.54
2013-08-08,0.006,0.363,1.053,1.524
2013-08-09,0.028,0.359,1.051,1.539
2013-08-12,0.014,0.369,1.052,1.533
2013-08-13,0.011,0.352,1.042,1.518
2013-08-14,0.047,0.399,1.096,1.576
2013-08-15,0.039,0.375,1.084,1.575
2013-08-16,0.033,0.408,1.113,1.598
2013-08-19,0.047,0.412,1.127,1.617
2013-08-20,0.032,0.392,1.116,1.616
2013-08-21,0.027,0.401,1.112,1.597
2013-08-22,0.035,0.433,1.155,1.637
2013-08-23,0.047,0.459,1.181,1.653
2013-08-26,0.041,0.486,1.212,1.679
2013-08-27,0.014,0.456,1.175,1.632
2013-08-28,0.03,0.441,1.163,1.637
2013-08-29,0.023,0.465,1.182,1.64
2013-08-30,-0.008,0.42,1.142,1.601
2013-09-02,0.012,0.454,1.171,1.624
2013-09-03,0.007,0.422,1.135,1.594
2013-09-04,0.011,0.46,1.184,1.641
2013-09-05,0.021,0.477,1.201,1.66
2013-09-06,-0.007,0.486,1.216,1.666
2013-09-09,0.005,0.462,1.198,1.662
2013-09-10,0.013,0.494,1.238,1.703
2013-09-11,0.022,0.506,1.256,1.722
2013-09-12,0.016,0.488,1.233,1.71
2013-09-13,0.008,0.487,1.231,1.711
2013-09-16,-0.005,0.447,1.199,1.675
2013-09-17,-0.008,0.448,1.194,1.663
2013-09-18,-0.006,0.45,1.192,1.662
2013-09-19,0.003,0.409,1.144,1.631
2013-09-20,0.003,0.424,1.174,1.662
2013-09-23,0.011,0.431,1.18,1.67
2013-09-24,-0.008,0.421,1.169,1.647
2013-09-25,0.002,0.406,1.14,1.627
2013-09-26,0.021,0.409,1.149,1.642
2013-09-27,0.008,0.41,1.148,1.634
2013-09-30,-0.024,0.362,1.11,1.603
2013-10-01,-0.019,0.366,1.112,1.599
2013-10-02,-0.007,0.371,1.106,1.602
2013-10-03,-0.007,0.384,1.129,1.625
2013-10-04,-0.018,0.374,1.133,1.631
2013-10-07,-0.044,0.368,1.129,1.632
2013-10-08,-0.034,0.365,1.125,1.622
2013-10-09,-0.026,0.337,1.105,1.625
2013-10-10,-0.06,0.362,1.12,1.637
2013-10-11,-0.065,0.368,1.127,1.641
2013-10-14,-0.058,0.35,1.139,1.657
2013-10-15,-0.039,0.39,1.174,1.684
2013-10-16,-0.027,0.4,1.183,1.701
2013-10-17,-0.02,0.4,1.172,1.69
2013-10-18,-0.032,0.374,1.155,1.67
2013-10-21,-0.034,0.374,1.144,1.65
2013-10-22,-0.032,0.362,1.122,1.63
2013-10-23,-0.042,0.346,1.105,1.604
2013-10-24,-0.042,0.34,1.096,1.619
2013-10-25,-0.045,0.327,1.102,1.62
2013-10-28,-0.024,0.336,1.097,1.623
2013-10-29,-0.029,0.332,1.096,1.622
2013-10-30,-0.021,0.33,1.086,1.605
2013-10-31,0,0.328,1.07,1.588
2013-11-01,-0.012,0.321,1.057,1.584
2013-11-04,-0.018,0.319,1.064,1.594
2013-11-05,-0.028,0.323,1.076,1.609
2013-11-06,-0.015,0.334,1.093,1.618
2013-11-07,-0.026,0.33,1.096,1.622
2013-11-08,-0.049,0.291,1.057,1.588
2013-11-11,-0.048,0.31,1.077,1.604
2013-11-12,-0.038,0.347,1.128,1.655
2013-11-13,-0.033,0.338,1.125,1.66
2013-11-14,-0.048,0.314,1.101,1.636
2013-11-15,-0.036,0.32,1.088,1.617
2013-11-18,-0.051,0.323,1.089,1.615
2013-11-19,-0.045,0.31,1.077,1.603
2013-11-20,-0.036,0.327,1.088,1.628
2013-11-21,-0.055,0.321,1.084,1.611
2013-11-22,-0.061,0.307,1.085,1.622
2013-11-25,-0.084,0.289,1.056,1.576
2013-11-26,-0.076,0.272,1.035,1.554
2013-11-27,-0.08,0.251,1.007,1.529
2013-11-28,-0.068,0.261,1.015,1.54
2013-11-29,-0.076,0.266,1.031,1.555
2013-12-02,-0.077,0.28,1.043,1.567
2013-12-03,-0.087,0.298,1.08,1.611
2013-12-04,-0.076,0.295,1.078,1.615
2013-12-05,-0.09,0.311,1.103,1.635
2013-12-06,-0.065,0.324,1.126,1.667
2013-12-09,-0.076,0.345,1.136,1.675
2013-12-10,-0.08,0.324,1.135,1.676
2013-12-11,-0.082,0.329,1.134,1.67
2013-12-12,-0.087,0.325,1.131,1.674
2013-12-13,-0.091,0.321,1.149,1.704
2013-12-16,-0.097,0.329,1.137,1.682
2013-12-17,-0.102,0.37,1.177,1.714
2013-12-18,-0.083,0.35,1.168,1.711
2013-12-19,-0.085,0.371,1.195,1.739
2013-12-20,-0.089,0.39,1.217,1.751
2013-12-23,-0.084,0.396,1.22,1.758
2013-12-24,-0.084,0.396,1.22,1.758
2013-12-25,-0.084,0.396,1.22,1.758
2013-12-26,-0.084,0.396,1.22,1.758
2013-12-27,-0.071,0.413,1.245,1.782
2013-12-30,-0.071,0.419,1.253,1.79
2013-12-31,-0.071,0.419,1.253,1.79
2014-01-01,-0.071,0.419,1.253,1.79
2014-01-02,-0.071,0.419,1.253,1.79
2014-01-03,-0.066,0.413,1.229,1.766
2014-01-06,-0.082,0.381,1.18,1.716
2014-01-07,-0.083,0.353,1.172,1.719
2014-01-08,-0.09,0.352,1.178,1.724
2014-01-09,-0.089,0.386,1.208,1.745
2014-01-10,-0.088,0.373,1.207,1.744
2014-01-13,-0.116,0.356,1.187,1.723
2014-01-14,-0.092,0.346,1.166,1.701
2014-01-15,-0.074,0.347,1.166,1.713
2014-01-16,-0.064,0.32,1.135,1.701
2014-01-17,-0.075,0.321,1.122,1.679
2014-01-20,-0.082,0.301,1.116,1.671
2014-01-21,-0.085,0.296,1.111,1.67
2014-01-22,-0.088,0.269,1.061,1.614
2014-01-23,-0.085,0.275,1.073,1.632
2014-01-24,-0.109,0.24,1.022,1.575
2014-01-27,-0.093,0.232,1.022,1.58
2014-01-28,-0.094,0.25,1.04,1.596
2014-01-29,-0.094,0.248,1.039,1.606
2014-01-30,-0.113,0.204,0.994,1.559
2014-01-31,-0.109,0.196,0.983,1.561
2014-02-03,-0.122,0.178,0.964,1.534
2014-02-04,-0.119,0.185,0.954,1.527
2014-02-05,-0.095,0.182,0.958,1.526
2014-02-06,-0.081,0.207,0.981,1.548
2014-02-07,-0.071,0.234,0.993,1.554
2014-02-10,-0.077,0.223,0.999,1.564
2014-02-11,-0.071,0.242,1.021,1.586
2014-02-12,-0.065,0.253,1.036,1.592
2014-02-13,-0.064,0.25,1.028,1.587
2014-02-14,-0.079,0.251,1.019,1.578
2014-02-17,-0.087,0.246,1.029,1.58
2014-02-18,-0.07,0.235,1.007,1.562
2014-02-19,-0.08,0.234,1.001,1.555
2014-02-20,-0.073,0.221,0.974,1.537
2014-02-21,-0.079,0.242,0.997,1.557
2014-02-24,-0.073,0.234,0.997,1.559
2014-02-25,-0.067,0.232,0.993,1.55
2014-02-26,-0.058,0.239,0.996,1.553
2014-02-27,-0.06,0.209,0.955,1.518
2014-02-28,-0.074,0.206,0.951,1.507
2014-03-03,-0.075,0.21,0.955,1.503
2014-03-04,-0.077,0.201,0.919,1.466
2014-03-05,-0.05,0.228,0.963,1.506
2014-03-06,-0.051,0.249,0.976,1.52
2014-03-07,-0.038,0.273,1.006,1.55
2014-03-10,0.005,0.268,1.002,1.558
2014-03-11,-0.006,0.267,0.995,1.543
2014-03-12,-0.021,0.254,0.987,1.528
2014-03-13,-0.024,0.254,0.953,1.51
2014-03-14,-0.021,0.219,0.942,1.488
2014-03-17,-0.028,0.229,0.961,1.506
2014-03-18,-0.026,0.227,0.964,1.513
2014-03-19,-0.042,0.237,0.959,1.507
2014-03-20,-0.019,0.274,1.004,1.547
2014-03-21,-0.024,0.258,1,1.545
2014-03-24,-0.024,0.264,1.004,1.555
2014-03-25,-0.034,0.23,0.956,1.509
2014-03-26,-0.024,0.212,0.936,1.484
2014-03-27,-0.03,0.214,0.943,1.489
2014-03-28,-0.043,0.202,0.923,1.469
2014-03-31,-0.031,0.227,0.955,1.499
2014-04-01,-0.033,0.217,0.948,1.498
2014-04-02,-0.025,0.221,0.95,1.498
2014-04-03,-0.02,0.232,0.968,1.522
2014-04-04,-0.024,0.218,0.942,1.482
2014-04-07,-0.036,0.195,0.914,1.46
2014-04-08,-0.041,0.187,0.902,1.448
2014-04-09,-0.033,0.196,0.908,1.457
2014-04-10,-0.04,0.18,0.906,1.474
2014-04-11,-0.024,0.178,0.896,1.464
2014-04-14,-0.048,0.155,0.871,1.44
2014-04-15,-0.023,0.168,0.876,1.449
2014-04-16,-0.023,0.164,0.861,1.428
2014-04-17,-0.019,0.163,0.862,1.427
2014-04-18,-0.019,0.163,0.862,1.427
2014-04-21,-0.019,0.163,0.862,1.427
2014-04-22,-0.024,0.178,0.891,1.456
2014-04-23,-0.006,0.199,0.897,1.471
2014-04-24,-0.005,0.192,0.882,1.448
2014-04-25,-0.004,0.184,0.868,1.436
2014-04-28,-0.017,0.167,0.859,1.415
2014-04-29,0.021,0.206,0.886,1.452
2014-04-30,0.005,0.174,0.86,1.428
2014-05-01,0.005,0.174,0.86,1.428
2014-05-02,0.017,0.175,0.851,1.428
2014-05-05,0.007,0.176,0.853,1.425
2014-05-06,0.022,0.19,0.858,1.434
2014-05-07,0.026,0.192,0.857,1.426
2014-05-08,0.023,0.182,0.857,1.425
2014-05-09,0.007,0.174,0.831,1.404
2014-05-12,-0.002,0.162,0.832,1.401
2014-05-13,-0.003,0.156,0.821,1.389
2014-05-14,-0.012,0.101,0.764,1.336
2014-05-15,-0.013,0.091,0.729,1.305
2014-05-16,0.008,0.108,0.733,1.317
2014-05-19,-0.005,0.121,0.759,1.326
2014-05-20,-0.001,0.148,0.797,1.382
2014-05-21,0.002,0.162,0.817,1.405
2014-05-22,0.002,0.166,0.834,1.432
2014-05-23,0,0.159,0.825,1.42
2014-05-26,-0.004,0.154,0.823,1.424
2014-05-27,-0.014,0.14,0.807,1.396
2014-05-28,-0.007,0.125,0.768,1.359
2014-05-29,-0.007,0.125,0.768,1.359
2014-05-30,-0.027,0.114,0.77,1.374
2014-06-02,-0.026,0.109,0.754,1.376
2014-06-03,-0.05,0.124,0.756,1.375
2014-06-04,-0.033,0.141,0.785,1.398
2014-06-05,-0.045,0.149,0.803,1.417
2014-06-06,-0.054,0.118,0.767,1.384
2014-06-09,-0.054,0.118,0.767,1.384
2014-06-10,-0.054,0.127,0.789,1.415
2014-06-11,-0.029,0.168,0.834,1.458
2014-06-12,-0.049,0.147,0.812,1.44
2014-06-13,-0.045,0.141,0.806,1.438
2014-06-16,-0.041,0.148,0.802,1.435
2014-06-17,-0.043,0.138,0.792,1.43
2014-06-18,-0.015,0.162,0.82,1.459
2014-06-19,-0.021,0.147,0.793,1.434
2014-06-20,-0.012,0.137,0.779,1.416
2014-06-23,-0.016,0.131,0.77,1.404
2014-06-24,-0.009,0.14,0.778,1.414
2014-06-25,0.025,0.139,0.763,1.393
2014-06-26,0.033,0.122,0.721,1.356
2014-06-27,0.036,0.13,0.725,1.357
2014-06-30,0.032,0.117,0.714,1.352
2014-07-01,0.031,0.137,0.72,1.344
2014-07-02,0.037,0.131,0.707,1.334
2014-07-03,0.04,0.14,0.745,1.384
2014-07-04,0.043,0.127,0.724,1.372
2014-07-07,0.031,0.118,0.72,1.366
2014-07-08,0.017,0.097,0.697,1.335
2014-07-09,0.024,0.099,0.693,1.332
2014-07-10,0.034,0.109,0.686,1.329
2014-07-11,0.023,0.099,0.684,1.323
2014-07-14,0.026,0.097,0.688,1.325
2014-07-15,0.029,0.099,0.692,1.326
2014-07-16,0.043,0.093,0.692,1.323
2014-07-17,0.021,0.099,0.694,1.278
2014-07-18,0.019,0.08,0.663,1.248
2014-07-21,0.006,0.062,0.635,1.213
2014-07-22,0.002,0.058,0.622,1.197
2014-07-23,0.001,0.064,0.61,1.187
2014-07-24,0.013,0.053,0.609,1.174
2014-07-25,0.017,0.065,0.619,1.185
2014-07-28,0.019,0.056,0.6,1.162
2014-07-29,0.024,0.05,0.57,1.114
2014-07-30,0.016,0.052,0.58,1.128
2014-07-31,0.033,0.082,0.616,1.15
2014-08-01,0.033,0.082,0.616,1.15
2014-08-04,0.008,0.069,0.597,1.122
2014-08-05,0.021,0.078,0.6,1.129
2014-08-06,0.051,0.09,0.596,1.125
2014-08-07,0.018,0.06,0.573,1.095
2014-08-08,0.033,0.066,0.531,1.047
2014-08-11,0.035,0.066,0.534,1.046
2014-08-12,0.03,0.061,0.519,1.011
2014-08-13,0.036,0.071,0.525,1.013
2014-08-14,0.039,0.072,0.51,0.997
2014-08-15,0.035,0.087,0.546,1.027
2014-08-18,0.033,0.083,0.554,1.026
2014-08-19,0.03,0.093,0.567,1.036
2014-08-20,0.043,0.091,0.559,1.038
2014-08-21,0.044,0.093,0.554,1.032
2014-08-22,0.038,0.099,0.552,1.036
2014-08-25,0.023,0.095,0.551,1.028
2014-08-26,0.03,0.094,0.55,1.027
2014-08-27,0.026,0.095,0.557,1.035
2014-08-28,0.011,0.071,0.533,1.007
2014-08-29,0.001,0.073,0.529,0.998
2014-09-01,-0.009,0.051,0.508,0.978
2014-09-02,-0.004,0.069,0.534,1.005
2014-09-03,0.017,0.107,0.571,1.047
2014-09-04,0.014,0.094,0.579,1.055
2014-09-05,0.006,0.071,0.589,1.097
2014-09-08,-0.007,0.054,0.564,1.085
2014-09-09,-0.01,0.088,0.616,1.13
2014-09-10,-0.001,0.115,0.646,1.164
2014-09-11,-0.019,0.067,0.598,1.115
2014-09-12,-0.017,0.084,0.618,1.135
2014-09-15,-0.027,0.096,0.627,1.148
2014-09-16,-0.028,0.064,0.596,1.112
2014-09-17,-0.029,0.079,0.612,1.129
2014-09-18,-0.026,0.065,0.611,1.134
2014-09-19,-0.015,0.081,0.627,1.146
2014-09-22,-0.023,0.052,0.588,1.114
2014-09-23,-0.024,0.03,0.542,1.062
2014-09-24,-0.018,0.053,0.572,1.094
2014-09-25,-0.005,0.07,0.572,1.087
2014-09-26,-0.001,0.058,0.56,1.085
2014-09-29,-0.014,0.069,0.576,1.096
2014-09-30,-0.009,0.069,0.589,1.113
2014-10-01,-0.015,0.069,0.579,1.093
2014-10-02,-0.014,0.062,0.559,1.069
2014-10-03,-0.003,0.068,0.568,1.079
2014-10-06,-0.009,0.062,0.559,1.068
2014-10-07,-0.011,0.063,0.554,1.066
2014-10-08,-0.007,0.063,0.532,1.031
2014-10-09,0,0.061,0.538,1.048
2014-10-10,0.002,0.083,0.549,1.046
2014-10-13,-0.001,0.073,0.542,1.039
2014-10-14,-0.007,0.074,0.541,1.037
2014-10-15,-0.023,0.066,0.52,1.008
2014-10-16,-0.03,0.052,0.479,0.967
2014-10-17,-0.012,0.103,0.545,1.013
2014-10-20,-0.017,0.082,0.542,1.014
2014-10-21,-0.032,0.077,0.515,0.983
2014-10-22,-0.038,0.095,0.542,1.012
2014-10-23,-0.029,0.091,0.547,1.035
2014-10-24,-0.024,0.093,0.543,1.032
2014-10-27,-0.036,0.102,0.573,1.051
2014-10-28,-0.043,0.093,0.566,1.036
2014-10-29,-0.038,0.09,0.57,1.041
2014-10-30,-0.042,0.096,0.576,1.056
2014-10-31,-0.042,0.082,0.558,1.034
2014-11-03,-0.048,0.073,0.539,1.018
2014-11-04,-0.052,0.085,0.557,1.032
2014-11-05,-0.062,0.081,0.552,1.019
2014-11-06,-0.068,0.075,0.544,1.018
2014-11-07,-0.081,0.066,0.541,1.018
2014-11-10,-0.088,0.05,0.524,1.003
2014-11-11,-0.101,0.048,0.523,0.996
2014-11-12,-0.136,0.013,0.49,0.955
2014-11-13,-0.134,0.006,0.485,0.958
2014-11-14,-0.143,-0.026,0.459,0.935
2014-11-17,-0.143,-0.015,0.464,0.94
2014-11-18,-0.155,-0.012,0.471,0.938
2014-11-19,-0.148,-0.008,0.475,0.938
2014-11-20,-0.14,-0.003,0.474,0.932
2014-11-21,-0.141,-0.002,0.473,0.924
2014-11-24,-0.152,-0.004,0.468,0.92
2014-11-25,-0.146,-0.007,0.457,0.905
2014-11-26,-0.148,-0.012,0.44,0.884
2014-11-27,-0.128,-0.007,0.429,0.863
2014-11-28,-0.134,-0.016,0.413,0.852
2014-12-01,-0.139,-0.024,0.395,0.818
2014-12-02,-0.13,-0.011,0.406,0.829
2014-12-03,-0.113,-0.018,0.383,0.801
2014-12-04,-0.098,-0.008,0.385,0.806
2014-12-05,-0.078,-0.005,0.391,0.804
2014-12-08,-0.096,0.005,0.404,0.813
2014-12-09,-0.108,-0.016,0.372,0.783
2014-12-10,-0.094,-0.018,0.365,0.769
2014-12-11,-0.081,-0.011,0.358,0.758
2014-12-12,-0.062,-0.017,0.335,0.725
2014-12-15,-0.077,-0.02,0.345,0.736
2014-12-16,-0.081,-0.018,0.344,0.721
2014-12-17,-0.091,-0.023,0.337,0.705
2014-12-18,-0.182,-0.08,0.317,0.598
2014-12-19,-0.196,-0.085,0.347,0.688
2014-12-22,-0.223,-0.09,0.336,0.682
2014-12-23,-0.219,-0.066,0.388,0.713
2014-12-24,-0.219,-0.066,0.388,0.713
2014-12-25,-0.219,-0.066,0.388,0.713
2014-12-26,-0.219,-0.066,0.388,0.713
2014-12-29,-0.249,-0.08,0.377,0.718
2014-12-30,-0.259,-0.092,0.375,0.697
2014-12-31,-0.259,-0.092,0.375,0.697
2015-01-01,-0.259,-0.092,0.375,0.697
2015-01-02,-0.259,-0.092,0.375,0.697
2015-01-05,-0.287,-0.125,0.312,0.625
2015-01-06,-0.259,-0.135,0.259,0.558
2015-01-07,-0.298,-0.182,0.195,0.471
2015-01-08,-0.285,-0.173,0.205,0.476
2015-01-09,-0.304,-0.18,0.209,0.502
2015-01-12,-0.331,-0.191,0.224,0.522
2015-01-13,-0.329,-0.213,0.206,0.511
2015-01-14,-0.344,-0.23,0.196,0.518
2015-01-15,-0.357,-0.258,0.169,0.523
2015-01-16,-0.608,-0.446,-0.024,0.339
2015-01-19,-0.738,-0.527,-0.057,0.291
2015-01-20,-0.848,-0.638,-0.101,0.278
2015-01-21,-0.835,-0.68,-0.197,0.222
2015-01-22,-0.897,-0.765,-0.197,0.249
2015-01-23,-1.138,-0.954,-0.3,0.188
2015-01-26,-1.163,-0.957,-0.259,0.246
2015-01-27,-0.919,-0.648,-0.084,0.431
2015-01-28,-0.812,-0.529,-0.046,0.44
2015-01-29,-0.806,-0.579,-0.052,0.406
2015-01-30,-0.702,-0.541,-0.067,0.376
2015-02-02,-0.777,-0.581,-0.096,0.336
2015-02-03,-0.915,-0.627,-0.12,0.27
2015-02-04,-0.839,-0.605,-0.106,0.285
2015-02-05,-0.867,-0.626,-0.123,0.298
2015-02-06,-0.873,-0.616,-0.096,0.318
2015-02-09,-0.886,-0.636,-0.083,0.329
2015-02-10,-0.929,-0.626,-0.045,0.356
2015-02-11,-0.933,-0.598,0.01,0.434
2015-02-12,-0.89,-0.553,0.035,0.454
2015-02-13,-0.954,-0.55,0.036,0.422
2015-02-16,-0.971,-0.548,0.042,0.432
2015-02-17,-0.971,-0.524,0.078,0.472
2015-02-18,-0.871,-0.491,0.053,0.491
2015-02-19,-0.872,-0.508,0.039,0.485
2015-02-20,-0.895,-0.522,0.051,0.516
2015-02-23,-0.89,-0.516,0.063,0.533
2015-02-24,-0.838,-0.481,0.07,0.54
2015-02-25,-0.803,-0.469,0.048,0.504
2015-02-26,-0.779,-0.458,0.027,0.466
2015-02-27,-0.8,-0.48,0.015,0.454
2015-03-02,-0.831,-0.5,0.004,0.424
2015-03-03,-0.813,-0.503,-0.021,0.406
2015-03-04,-0.798,-0.497,-0.013,0.434
2015-03-05,-0.758,-0.437,0.025,0.442
2015-03-06,-0.681,-0.445,0.012,0.423
2015-03-09,-0.709,-0.465,-0.017,0.414
2015-03-10,-0.751,-0.507,-0.034,0.39
2015-03-11,-0.765,-0.533,-0.067,0.369
2015-03-12,-0.775,-0.524,-0.096,0.351
2015-03-13,-0.713,-0.454,-0.047,0.388
2015-03-16,-0.74,-0.465,-0.038,0.386
2015-03-17,-0.736,-0.47,-0.058,0.354
2015-03-18,-0.74,-0.474,-0.053,0.363
2015-03-19,-0.74,-0.479,-0.07,0.331
2015-03-20,-0.711,-0.449,-0.054,0.34
2015-03-23,-0.739,-0.48,-0.08,0.316
2015-03-24,-0.746,-0.482,-0.074,0.323
2015-03-25,-0.755,-0.487,-0.076,0.313
2015-03-26,-0.727,-0.459,-0.065,0.312
2015-03-27,-0.734,-0.446,-0.04,0.33
2015-03-30,-0.784,-0.473,0,0.333
2015-03-31,-0.795,-0.475,-0.001,0.319
2015-04-01,-0.743,-0.455,-0.045,0.318
2015-04-02,-0.729,-0.451,-0.057,0.3
2015-04-03,-0.729,-0.451,-0.057,0.3
2015-04-06,-0.729,-0.451,-0.057,0.3
2015-04-07,-0.765,-0.476,-0.061,0.294
2015-04-08,-0.76,-0.474,-0.063,0.294
2015-04-09,-0.768,-0.486,-0.084,0.261
2015-04-10,-0.76,-0.494,-0.102,0.236
2015-04-13,-0.782,-0.517,-0.115,0.229
2015-04-14,-0.814,-0.537,-0.128,0.197
2015-04-15,-0.8,-0.527,-0.136,0.183
2015-04-16,-0.802,-0.547,-0.17,0.149
2015-04-17,-0.808,-0.542,-0.155,0.163
2015-04-20,-0.85,-0.572,-0.175,0.138
2015-04-21,-0.862,-0.581,-0.178,0.137
2015-04-22,-0.87,-0.574,-0.166,0.14
2015-04-23,-0.872,-0.562,-0.143,0.168
2015-04-24,-0.864,-0.526,-0.082,0.23
2015-04-27,-0.869,-0.543,-0.106,0.213
2015-04-28,-0.866,-0.54,-0.103,0.219
2015-04-29,-0.829,-0.507,-0.071,0.256
2015-04-30,-0.774,-0.417,0.04,0.377
2015-05-01,-0.774,-0.417,0.04,0.377
2015-05-04,-0.783,-0.442,0.028,0.385
2015-05-05,-0.782,-0.429,0.041,0.405
2015-05-06,-0.765,-0.39,0.115,0.492
2015-05-07,-0.738,-0.337,0.178,0.56
2015-05-08,-0.722,-0.361,0.125,0.507
2015-05-11,-0.752,-0.4,0.089,0.479
2015-05-12,-0.752,-0.387,0.115,0.498
2015-05-13,-0.742,-0.402,0.086,0.484
2015-05-14,-0.742,-0.402,0.086,0.484
2015-05-15,-0.746,-0.399,0.088,0.476
2015-05-18,-0.765,-0.425,0.059,0.448
2015-05-19,-0.751,-0.466,-0.009,0.402
2015-05-20,-0.78,-0.472,-0.002,0.395
2015-05-21,-0.764,-0.456,0.01,0.409
2015-05-22,-0.785,-0.472,0.017,0.425
2015-05-25,-0.785,-0.472,0.017,0.425
2015-05-26,-0.808,-0.504,-0.012,0.405
2015-05-27,-0.804,-0.513,-0.025,0.404
2015-05-28,-0.815,-0.529,-0.035,0.412
2015-05-29,-0.811,-0.525,-0.031,0.422
2015-06-01,-0.837,-0.567,-0.067,0.397
2015-06-02,-0.857,-0.571,-0.051,0.408
2015-06-03,-0.842,-0.539,0.005,0.495
2015-06-04,-0.762,-0.423,0.131,0.639
2015-06-05,-0.784,-0.452,0.116,0.645
2015-06-08,-0.783,-0.442,0.132,0.652
2015-06-09,-0.793,-0.429,0.173,0.692
2015-06-10,-0.794,-0.391,0.262,0.801
2015-06-11,-0.79,-0.406,0.227,0.762
2015-06-12,-0.808,-0.443,0.172,0.701
2015-06-15,-0.837,-0.487,0.124,0.653
2015-06-16,-0.851,-0.504,0.119,0.659
2015-06-17,-0.867,-0.514,0.117,0.653
2015-06-18,-0.847,-0.493,0.125,0.655
2015-06-19,-0.869,-0.508,0.125,0.658
2015-06-22,-0.845,-0.461,0.177,0.702
2015-06-23,-0.849,-0.459,0.178,0.699
2015-06-24,-0.842,-0.46,0.17,0.692
2015-06-25,-0.84,-0.488,0.126,0.66
2015-06-26,-0.822,-0.477,0.124,0.653
2015-06-29,-0.888,-0.535,0.086,0.618
2015-06-30,-0.879,-0.523,0.101,0.637
2015-07-01,-0.892,-0.529,0.112,0.648
