SNB data portal,,,,
1996-02-09,2.597,3.665,4.584,5.271
1996-02-12,2.507,3.71,4.626,5.224
1996-02-13,2.507,3.71,4.626,5.224
1996-02-14,2.507,3.71,4.626,5.224
1996-02-15,2.507,3.71,4.626,5.224
1996-02-16,2.507,3.71,4.626,5.224
1996-02-19,2.475,3.556,4.429,5.05
1996-02-20,2.475,3.556,4.429,5.05
1996-02-21,2.475,3.556,4.429,5.05
1996-02-22,2.475,3.556,4.429,5.05
1996-02-23,2.475,3.556,4.429,5.05
1996-02-26,2.369,3.434,4.369,5.303
1996-02-27,2.369,3.434,4.369,5.303
1996-02-28,2.378,3.399,4.358,5.184
1996-02-29,2.378,3.399,4.358,5.184
1996-03-01,2.378,3.399,4.358,5.184
1996-03-04,2.287,3.324,4.293,5.073
1996-03-05,2.287,3.324,4.293,5.073
1996-03-06,2.287,3.324,4.293,5.073
1996-03-07,2.287,3.324,4.293,5.073
1996-03-08,2.287,3.324,4.293,5.073
1996-03-11,2.433,3.463,4.46,5.25
1996-03-12,2.433,3.463,4.46,5.25
1996-03-13,2.433,3.463,4.46,5.25
1996-03-14,2.433,3.463,4.46,5.25
1996-03-15,2.433,3.463,4.46,5.25
1996-03-18,2.399,3.489,4.475,5.356
1996-03-19,2.399,3.489,4.475,5.356
1996-03-20,2.399,3.489,4.475,5.356
1996-03-21,2.399,3.489,4.475,5.356
1996-03-22,2.399,3.489,4.475,5.356
1996-03-25,2.333,3.348,4.424,5.211
1996-03-26,2.333,3.348,4.424,5.211
1996-03-27,2.333,3.348,4.424,5.211
1996-03-28,2.333,3.348,4.424,5.211
1996-03-29,2.223,3.344,4.406,5.144
1996-04-01,2.234,3.314,4.405,5.096
1996-04-02,2.234,3.314,4.405,5.096
1996-04-03,2.234,3.314,4.405,5.096
1996-04-04,2.234,3.314,4.405,5.096
1996-04-05,2.234,3.314,4.405,5.096
1996-04-08,2.234,3.314,4.405,5.096
1996-04-09,2.228,3.302,4.381,5.196
1996-04-10,2.228,3.302,4.381,5.196
1996-04-11,2.228,3.302,4.381,5.196
1996-04-12,2.228,3.302,4.381,5.196
1996-04-15,2.257,3.358,4.437,5.289
1996-04-16,2.257,3.358,4.437,5.289
1996-04-17,2.257,3.358,4.437,5.289
1996-04-18,2.257,3.358,4.437,5.289
1996-04-19,2.257,3.358,4.437,5.289
1996-04-22,2.23,3.261,4.321,5.123
1996-04-23,2.23,3.261,4.321,5.123
1996-04-24,2.23,3.261,4.321,5.123
1996-04-25,2.23,3.261,4.321,5.123
1996-04-26,2.23,3.261,4.321,5.123
1996-04-29,2.194,3.245,4.312,5.203
1996-04-30,2.17,3.228,4.329,5.109
1996-05-01,2.17,3.228,4.329,5.109
1996-05-02,2.17,3.228,4.329,5.109
1996-05-03,2.17,3.228,4.329,5.109
1996-05-06,2.424,3.386,4.428,5.372
1996-05-07,2.424,3.386,4.428,5.372
1996-05-08,2.424,3.386,4.428,5.372
1996-05-09,2.424,3.386,4.428,5.372
1996-05-10,2.424,3.386,4.428,5.372
1996-05-13,2.377,3.383,4.429,5.466
1996-05-14,2.377,3.383,4.429,5.466
1996-05-15,2.377,3.383,4.429,5.466
1996-05-16,2.377,3.383,4.429,5.466
1996-05-17,2.377,3.383,4.429,5.466
1996-05-20,2.426,3.48,4.465,5.393
1996-05-21,2.426,3.48,4.465,5.393
1996-05-22,2.426,3.48,4.465,5.393
1996-05-23,2.426,3.48,4.465,5.393
1996-05-24,2.426,3.48,4.465,5.393
1996-05-27,2.426,3.48,4.465,5.393
1996-05-28,2.605,3.62,4.631,5.367
1996-05-29,2.91,3.762,4.682,5.418
1996-05-30,2.91,3.762,4.682,5.418
1996-05-31,2.91,3.762,4.682,5.418
1996-06-03,2.9,3.774,4.71,5.395
1996-06-04,2.9,3.774,4.71,5.395
1996-06-05,2.9,3.774,4.71,5.395
1996-06-06,2.9,3.774,4.71,5.395
1996-06-07,2.9,3.774,4.71,5.395
1996-06-10,2.914,3.758,4.634,5.434
1996-06-11,2.914,3.758,4.634,5.434
1996-06-12,2.914,3.758,4.634,5.434
1996-06-13,2.914,3.758,4.634,5.434
1996-06-14,2.914,3.758,4.634,5.434
1996-06-17,3.06,3.905,4.647,5.486
1996-06-18,3.06,3.905,4.647,5.486
1996-06-19,3.06,3.905,4.647,5.486
1996-06-20,3.06,3.905,4.647,5.486
1996-06-21,3.06,3.905,4.647,5.486
1996-06-24,2.979,3.89,4.682,5.18
1996-06-25,2.979,3.89,4.682,5.18
1996-06-26,2.979,3.89,4.682,5.18
1996-06-27,2.979,3.89,4.682,5.18
1996-06-28,2.761,3.813,4.627,5.076
1996-07-01,2.868,3.763,4.585,5.167
1996-07-02,2.868,3.763,4.585,5.167
1996-07-03,2.868,3.763,4.585,5.167
1996-07-04,2.868,3.763,4.585,5.167
1996-07-05,2.868,3.763,4.585,5.167
1996-07-08,2.934,3.763,4.614,5.209
1996-07-09,2.934,3.763,4.614,5.209
1996-07-10,2.934,3.763,4.614,5.209
1996-07-11,2.934,3.763,4.614,5.209
1996-07-12,2.934,3.763,4.614,5.209
1996-07-15,2.893,3.738,4.527,5.302
1996-07-16,2.893,3.738,4.527,5.302
1996-07-17,2.893,3.738,4.527,5.302
1996-07-18,2.893,3.738,4.527,5.302
1996-07-19,2.893,3.738,4.527,5.302
1996-07-22,2.835,3.709,4.546,5.068
1996-07-23,2.835,3.709,4.546,5.068
1996-07-24,2.835,3.709,4.546,5.068
1996-07-25,2.835,3.709,4.546,5.068
1996-07-26,2.835,3.709,4.546,5.068
1996-07-29,2.786,3.683,4.562,5.143
1996-07-30,2.786,3.683,4.562,5.143
1996-07-31,2.73,3.695,4.561,5.094
1996-08-01,2.73,3.695,4.561,5.094
1996-08-02,2.73,3.695,4.561,5.094
1996-08-05,2.748,3.646,4.444,5.316
1996-08-06,2.748,3.646,4.444,5.316
1996-08-07,2.748,3.646,4.444,5.316
1996-08-08,2.748,3.646,4.444,5.316
1996-08-09,2.748,3.646,4.444,5.316
1996-08-12,2.72,3.571,4.403,5.228
1996-08-13,2.72,3.571,4.403,5.228
1996-08-14,2.72,3.571,4.403,5.228
1996-08-15,2.72,3.571,4.403,5.228
1996-08-16,2.72,3.571,4.403,5.228
1996-08-19,2.72,3.559,4.44,5.145
1996-08-20,2.72,3.559,4.44,5.145
1996-08-21,2.72,3.559,4.44,5.145
1996-08-22,2.72,3.559,4.44,5.145
1996-08-23,2.72,3.559,4.44,5.145
1996-08-26,2.623,3.548,4.494,5.203
1996-08-27,2.623,3.548,4.494,5.203
1996-08-28,2.623,3.548,4.494,5.203
1996-08-29,2.623,3.548,4.494,5.203
1996-08-30,2.503,3.527,4.467,5.08
1996-09-02,2.604,3.569,4.465,5.251
1996-09-03,2.604,3.569,4.465,5.251
1996-09-04,2.604,3.569,4.465,5.251
1996-09-05,2.604,3.569,4.465,5.251
1996-09-06,2.604,3.569,4.465,5.251
1996-09-09,2.568,3.493,4.394,5.07
1996-09-10,2.568,3.493,4.394,5.07
1996-09-11,2.568,3.493,4.394,5.07
1996-09-12,2.568,3.493,4.394,5.07
1996-09-13,2.568,3.493,4.394,5.07
1996-09-16,2.395,3.366,4.279,4.875
1996-09-17,2.395,3.366,4.279,4.875
1996-09-18,2.395,3.366,4.279,4.875
1996-09-19,2.395,3.366,4.279,4.875
1996-09-20,2.395,3.366,4.279,4.875
1996-09-23,2.323,3.323,4.241,5.132
1996-09-24,2.323,3.323,4.241,5.132
1996-09-25,2.323,3.323,4.241,5.132
1996-09-26,2.323,3.323,4.241,5.132
1996-09-27,2.323,3.323,4.241,5.132
1996-09-30,2.201,3.237,4.256,4.988
1996-10-01,2.201,3.237,4.256,4.988
1996-10-02,2.201,3.237,4.256,4.988
1996-10-03,2.201,3.237,4.256,4.988
1996-10-04,2.201,3.237,4.256,4.988
1996-10-07,2.169,2.996,4.03,4.804
1996-10-08,2.169,2.996,4.03,4.804
1996-10-09,2.169,2.996,4.03,4.804
1996-10-10,2.169,2.996,4.03,4.804
1996-10-11,2.169,2.996,4.03,4.804
1996-10-14,1.996,3.083,4.108,4.853
1996-10-15,1.996,3.083,4.108,4.853
1996-10-16,1.996,3.083,4.108,4.853
1996-10-17,1.996,3.083,4.108,4.853
1996-10-18,1.996,3.083,4.108,4.853
1996-10-21,2.044,3.081,4.118,4.82
1996-10-22,2.044,3.081,4.118,4.82
1996-10-23,2.044,3.081,4.118,4.82
1996-10-24,2.044,3.081,4.118,4.82
1996-10-25,2.044,3.081,4.118,4.82
1996-10-28,2.227,3.18,4.177,4.962
1996-10-29,2.227,3.18,4.177,4.962
1996-10-30,2.227,3.18,4.177,4.962
1996-10-31,1.997,3.084,4.166,4.885
1996-11-01,1.997,3.084,4.166,4.885
1996-11-04,2.296,3.215,4.213,4.976
1996-11-05,2.296,3.215,4.213,4.976
1996-11-06,2.296,3.215,4.213,4.976
1996-11-07,2.296,3.215,4.213,4.976
1996-11-08,2.296,3.215,4.213,4.976
1996-11-11,2.173,3.151,4.125,4.803
1996-11-12,2.173,3.151,4.125,4.803
1996-11-13,2.173,3.151,4.125,4.803
1996-11-14,2.173,3.151,4.125,4.803
1996-11-15,2.173,3.151,4.125,4.803
1996-11-18,2.425,3.202,4.111,5.088
1996-11-19,2.425,3.202,4.111,5.088
1996-11-20,2.425,3.202,4.111,5.088
1996-11-21,2.425,3.202,4.111,5.088
1996-11-22,2.425,3.202,4.111,5.088
1996-11-25,2.306,3.23,4.184,4.902
1996-11-26,2.306,3.23,4.184,4.902
1996-11-27,2.306,3.23,4.184,4.902
1996-11-28,2.306,3.23,4.184,4.902
1996-11-29,2.249,3.211,4.191,4.835
1996-12-02,2.297,3.202,4.156,4.949
1996-12-03,2.297,3.202,4.156,4.949
1996-12-04,2.297,3.202,4.156,4.949
1996-12-05,2.297,3.202,4.156,4.949
1996-12-06,2.297,3.202,4.156,4.949
1996-12-09,2.236,3.198,4.213,4.91
1996-12-10,2.236,3.198,4.213,4.91
1996-12-11,2.236,3.198,4.213,4.91
1996-12-12,2.236,3.198,4.213,4.91
1996-12-13,2.236,3.198,4.213,4.91
1996-12-16,2.089,3.104,4.173,4.892
1996-12-17,2.089,3.104,4.173,4.892
1996-12-18,2.089,3.104,4.173,4.892
1996-12-19,2.089,3.104,4.173,4.892
1996-12-20,2.089,3.104,4.173,4.892
1996-12-23,2.07,3.106,4.168,4.862
1996-12-24,2.07,3.106,4.168,4.862
1996-12-25,2.07,3.106,4.168,4.862
1996-12-26,2.07,3.106,4.168,4.862
1996-12-27,2.07,3.106,4.168,4.862
1996-12-30,2.024,3.061,4.124,4.765
1996-12-31,2.049,3.056,4.125,4.919
1997-01-01,2.049,3.056,4.125,4.919
1997-01-02,2.049,3.056,4.125,4.919
1997-01-03,2.049,3.056,4.125,4.919
1997-01-06,2.097,3.082,4.164,4.983
1997-01-07,2.097,3.082,4.164,4.983
1997-01-08,2.097,3.082,4.164,4.983
1997-01-09,2.097,3.082,4.164,4.983
1997-01-10,2.097,3.082,4.164,4.983
1997-01-13,1.983,2.963,4.065,5.025
1997-01-14,1.983,2.963,4.065,5.025
1997-01-15,1.983,2.963,4.065,5.025
1997-01-16,1.983,2.963,4.065,5.025
1997-01-17,1.983,2.963,4.065,5.025
1997-01-20,1.998,2.893,4.023,4.924
1997-01-21,1.998,2.893,4.023,4.924
1997-01-22,1.998,2.893,4.023,4.924
1997-01-23,1.998,2.893,4.023,4.924
1997-01-24,1.998,2.893,4.023,4.924
1997-01-27,1.965,2.921,4.008,4.727
1997-01-28,1.965,2.921,4.008,4.727
1997-01-29,1.965,2.921,4.008,4.727
1997-01-30,1.965,2.921,4.008,4.727
1997-01-31,1.98,2.922,3.959,4.75
1997-02-03,1.958,2.913,3.936,4.681
1997-02-04,1.958,2.913,3.936,4.681
1997-02-05,1.958,2.913,3.936,4.681
1997-02-06,1.958,2.913,3.936,4.681
1997-02-07,1.958,2.913,3.936,4.681
1997-02-10,1.882,2.789,3.835,4.463
1997-02-11,1.882,2.789,3.835,4.463
1997-02-12,1.882,2.789,3.835,4.463
1997-02-13,1.882,2.789,3.835,4.463
1997-02-14,1.882,2.789,3.835,4.463
1997-02-17,1.846,2.651,3.604,4.374
1997-02-18,1.846,2.651,3.604,4.374
1997-02-19,1.846,2.651,3.604,4.374
1997-02-20,1.846,2.651,3.604,4.374
1997-02-21,1.846,2.651,3.604,4.374
1997-02-24,1.813,2.634,3.624,4.44
1997-02-25,1.813,2.634,3.624,4.44
1997-02-26,1.813,2.634,3.624,4.44
1997-02-27,1.813,2.634,3.624,4.44
1997-02-28,1.726,2.501,3.517,4.441
1997-03-03,1.717,2.492,3.539,4.426
1997-03-04,1.717,2.492,3.539,4.426
1997-03-05,1.717,2.492,3.539,4.426
1997-03-06,1.717,2.492,3.539,4.426
1997-03-07,1.717,2.492,3.539,4.426
1997-03-10,1.797,2.613,3.616,4.46
1997-03-11,1.797,2.613,3.616,4.46
1997-03-12,1.797,2.613,3.616,4.46
1997-03-13,1.797,2.613,3.616,4.46
1997-03-14,1.797,2.613,3.616,4.46
1997-03-17,1.823,2.638,3.71,4.624
1997-03-18,1.823,2.638,3.71,4.624
1997-03-19,1.823,2.638,3.71,4.624
1997-03-20,1.823,2.638,3.71,4.624
1997-03-21,1.823,2.638,3.71,4.624
1997-03-24,1.907,2.845,3.901,4.592
1997-03-25,1.907,2.845,3.901,4.592
1997-03-26,1.907,2.845,3.901,4.592
1997-03-27,1.907,2.845,3.901,4.592
1997-03-28,1.907,2.845,3.901,4.592
1997-03-31,1.953,2.811,3.853,4.793
1997-04-01,1.953,2.811,3.853,4.793
1997-04-02,1.953,2.811,3.853,4.793
1997-04-03,1.953,2.811,3.853,4.793
1997-04-04,1.953,2.811,3.853,4.793
1997-04-07,1.951,2.912,3.975,4.718
1997-04-08,1.951,2.912,3.975,4.718
1997-04-09,1.951,2.912,3.975,4.718
1997-04-10,1.951,2.912,3.975,4.718
1997-04-11,1.951,2.912,3.975,4.718
1997-04-14,2.01,2.899,4.01,4.796
1997-04-15,2.01,2.899,4.01,4.796
1997-04-16,2.01,2.899,4.01,4.796
1997-04-17,2.01,2.899,4.01,4.796
1997-04-18,2.01,2.899,4.01,4.796
1997-04-21,1.989,2.798,3.926,4.864
1997-04-22,1.989,2.798,3.926,4.864
1997-04-23,1.989,2.798,3.926,4.864
1997-04-24,1.989,2.798,3.926,4.864
1997-04-25,1.989,2.798,3.926,4.864
1997-04-28,2.031,2.779,3.745,4.909
1997-04-29,2.031,2.779,3.745,4.909
1997-04-30,1.862,2.688,3.769,4.616
1997-05-01,1.862,2.688,3.769,4.616
1997-05-02,1.862,2.688,3.769,4.616
1997-05-05,1.857,2.656,3.723,4.613
1997-05-06,1.857,2.656,3.723,4.613
1997-05-07,1.857,2.656,3.723,4.613
1997-05-08,1.857,2.656,3.723,4.613
1997-05-09,1.857,2.656,3.723,4.613
1997-05-12,1.875,2.633,3.666,4.666
1997-05-13,1.875,2.633,3.666,4.666
1997-05-14,1.875,2.633,3.666,4.666
1997-05-15,1.875,2.633,3.666,4.666
1997-05-16,1.875,2.633,3.666,4.666
1997-05-19,1.875,2.633,3.666,4.666
1997-05-20,1.884,2.653,3.659,4.536
1997-05-21,1.884,2.653,3.659,4.536
1997-05-22,1.884,2.653,3.659,4.536
1997-05-23,1.884,2.653,3.659,4.536
1997-05-26,1.751,2.615,3.668,4.555
1997-05-27,1.751,2.615,3.668,4.555
1997-05-28,1.751,2.615,3.668,4.555
1997-05-29,1.751,2.615,3.668,4.555
1997-05-30,1.594,2.547,3.586,4.528
1997-06-02,1.531,2.495,3.562,4.467
1997-06-03,1.531,2.495,3.562,4.467
1997-06-04,1.531,2.495,3.562,4.467
1997-06-05,1.531,2.495,3.562,4.467
1997-06-06,1.531,2.495,3.562,4.467
1997-06-09,1.707,2.62,3.643,4.587
1997-06-10,1.707,2.62,3.643,4.587
1997-06-11,1.707,2.62,3.643,4.587
1997-06-12,1.707,2.62,3.643,4.587
1997-06-13,1.707,2.62,3.643,4.587
1997-06-16,1.632,2.526,3.469,4.565
1997-06-17,1.632,2.526,3.469,4.565
1997-06-18,1.632,2.526,3.469,4.565
1997-06-19,1.632,2.526,3.469,4.565
1997-06-20,1.632,2.526,3.469,4.565
1997-06-23,1.659,2.498,3.54,4.471
1997-06-24,1.659,2.498,3.54,4.471
1997-06-25,1.659,2.498,3.54,4.471
1997-06-26,1.659,2.498,3.54,4.471
1997-06-27,1.659,2.498,3.54,4.471
1997-06-30,1.653,2.484,3.522,4.435
1997-07-01,1.653,2.484,3.522,4.435
1997-07-02,1.653,2.484,3.522,4.435
1997-07-03,1.653,2.484,3.522,4.435
1997-07-04,1.653,2.484,3.522,4.435
1997-07-07,1.636,2.463,3.453,4.42
1997-07-08,1.636,2.463,3.453,4.42
1997-07-09,1.636,2.463,3.453,4.42
1997-07-10,1.636,2.463,3.453,4.42
1997-07-11,1.636,2.463,3.453,4.42
1997-07-14,1.637,2.47,3.508,4.471
1997-07-15,1.637,2.47,3.508,4.471
1997-07-16,1.637,2.47,3.508,4.471
1997-07-17,1.637,2.47,3.508,4.471
1997-07-18,1.637,2.47,3.508,4.471
1997-07-21,1.705,2.572,3.598,4.532
1997-07-22,1.705,2.572,3.598,4.532
1997-07-23,1.705,2.572,3.598,4.532
1997-07-24,1.705,2.572,3.598,4.532
1997-07-25,1.705,2.572,3.598,4.532
1997-07-28,1.744,2.613,3.627,4.403
1997-07-29,1.744,2.613,3.627,4.403
1997-07-30,1.744,2.613,3.627,4.403
1997-07-31,1.743,2.582,3.585,4.389
1997-08-01,1.743,2.582,3.585,4.389
1997-08-04,1.764,2.605,3.609,4.471
1997-08-05,1.764,2.605,3.609,4.471
1997-08-06,1.764,2.605,3.609,4.471
1997-08-07,1.764,2.605,3.609,4.471
1997-08-08,1.764,2.605,3.609,4.471
1997-08-11,1.766,2.648,3.632,4.39
1997-08-12,1.766,2.648,3.632,4.39
1997-08-13,1.766,2.648,3.632,4.39
1997-08-14,1.766,2.648,3.632,4.39
1997-08-15,1.766,2.648,3.632,4.39
1997-08-18,1.857,2.692,3.626,4.443
1997-08-19,1.857,2.692,3.626,4.443
1997-08-20,1.857,2.692,3.626,4.443
1997-08-21,1.857,2.692,3.626,4.443
1997-08-22,1.857,2.692,3.626,4.443
1997-08-25,1.903,2.723,3.639,4.493
1997-08-26,1.903,2.723,3.639,4.493
1997-08-27,1.903,2.723,3.639,4.493
1997-08-28,1.868,2.74,3.692,4.469
1997-08-29,1.868,2.74,3.692,4.469
1997-09-01,1.852,2.742,3.697,4.493
1997-09-02,1.852,2.742,3.697,4.493
1997-09-03,1.852,2.742,3.697,4.493
1997-09-04,1.852,2.742,3.697,4.493
1997-09-05,1.852,2.742,3.697,4.493
1997-09-08,2.005,2.831,3.68,4.575
1997-09-09,2.005,2.831,3.68,4.575
1997-09-10,2.005,2.831,3.68,4.575
1997-09-11,2.005,2.831,3.68,4.575
1997-09-12,2.005,2.831,3.68,4.575
1997-09-15,1.984,2.811,3.748,4.387
1997-09-16,1.984,2.811,3.748,4.387
1997-09-17,1.984,2.811,3.748,4.387
1997-09-18,1.984,2.811,3.748,4.387
1997-09-19,1.984,2.811,3.748,4.387
1997-09-22,2.01,2.779,3.655,4.5
1997-09-23,2.01,2.779,3.655,4.5
1997-09-24,2.01,2.779,3.655,4.5
1997-09-25,2.01,2.779,3.655,4.5
1997-09-26,2.01,2.779,3.655,4.5
1997-09-29,2.062,2.802,3.681,4.568
1997-09-30,2.002,2.822,3.704,4.47
1997-10-01,2.002,2.822,3.704,4.47
1997-10-02,2.002,2.822,3.704,4.47
1997-10-03,2.002,2.822,3.704,4.47
1997-10-06,1.993,2.769,3.574,4.425
1997-10-07,1.993,2.769,3.574,4.425
1997-10-08,1.993,2.769,3.574,4.425
1997-10-09,1.993,2.769,3.574,4.425
1997-10-10,1.993,2.769,3.574,4.425
1997-10-13,2.233,2.934,3.722,4.404
1997-10-14,2.233,2.934,3.722,4.404
1997-10-15,2.233,2.934,3.722,4.404
1997-10-16,2.233,2.934,3.722,4.404
1997-10-17,2.233,2.934,3.722,4.404
1997-10-20,2.301,2.998,3.753,4.427
1997-10-21,2.301,2.998,3.753,4.427
1997-10-22,2.301,2.998,3.753,4.427
1997-10-23,2.301,2.998,3.753,4.427
1997-10-24,2.301,2.998,3.753,4.427
1997-10-27,2.388,3.049,3.726,4.427
1997-10-28,2.388,3.049,3.726,4.427
1997-10-29,2.388,3.049,3.726,4.427
1997-10-30,2.388,3.049,3.726,4.427
1997-10-31,2.24,2.948,3.719,4.366
1997-11-03,2.256,2.99,3.692,4.434
1997-11-04,2.256,2.99,3.692,4.434
1997-11-05,2.256,2.99,3.692,4.434
1997-11-06,2.256,2.99,3.692,4.434
1997-11-07,2.256,2.99,3.692,4.434
1997-11-10,2.317,3.032,3.788,4.373
1997-11-11,2.317,3.032,3.788,4.373
1997-11-12,2.317,3.032,3.788,4.373
1997-11-13,2.317,3.032,3.788,4.373
1997-11-14,2.317,3.032,3.788,4.373
1997-11-17,2.253,3.006,3.773,4.339
1997-11-18,2.253,3.006,3.773,4.339
1997-11-19,2.253,3.006,3.773,4.339
1997-11-20,2.253,3.006,3.773,4.339
1997-11-21,2.253,3.006,3.773,4.339
1997-11-24,2.253,2.913,3.655,4.336
1997-11-25,2.253,2.913,3.655,4.336
1997-11-26,2.253,2.913,3.655,4.336
1997-11-27,2.253,2.913,3.655,4.336
1997-11-28,2.13,2.879,3.692,4.319
1997-12-01,2.043,2.868,3.689,4.262
1997-12-02,2.043,2.868,3.689,4.262
1997-12-03,2.043,2.868,3.689,4.262
1997-12-04,2.043,2.868,3.689,4.262
1997-12-05,2.043,2.868,3.689,4.262
1997-12-08,1.997,2.859,3.683,4.199
1997-12-09,1.997,2.859,3.683,4.199
1997-12-10,1.997,2.859,3.683,4.199
1997-12-11,1.997,2.859,3.683,4.199
1997-12-12,1.997,2.859,3.683,4.199
1997-12-15,1.941,2.684,3.507,4.057
1997-12-16,1.941,2.684,3.507,4.057
1997-12-17,1.941,2.684,3.507,4.057
1997-12-18,1.941,2.684,3.507,4.057
1997-12-19,1.941,2.684,3.507,4.057
1997-12-22,1.844,2.549,3.395,4.118
1997-12-23,1.844,2.549,3.395,4.118
1997-12-24,1.844,2.549,3.395,4.118
1997-12-25,1.844,2.549,3.395,4.118
1997-12-26,1.844,2.549,3.395,4.118
1997-12-29,1.862,2.568,3.408,4.104
1997-12-30,1.862,2.568,3.408,4.104
1997-12-31,1.883,2.614,3.445,4.167
1998-01-01,1.883,2.614,3.445,4.167
1998-01-02,1.883,2.614,3.445,4.167
1998-01-05,1.883,2.614,3.445,4.167
1998-01-06,1.869,2.555,3.356,4.142
1998-01-07,1.809,2.52,3.331,4.071
1998-01-08,1.748,2.512,3.339,4.057
1998-01-09,1.724,2.463,3.292,4.035
1998-01-12,1.664,2.391,3.233,4.024
1998-01-13,1.692,2.402,3.244,4.108
1998-01-14,1.755,2.426,3.236,4.133
1998-01-15,1.699,2.386,3.207,4.086
1998-01-16,1.761,2.426,3.217,4.078
1998-01-19,1.761,2.424,3.215,4.074
1998-01-20,1.746,2.396,3.181,4.049
1998-01-21,1.719,2.382,3.173,4.05
1998-01-22,1.718,2.382,3.175,4.054
1998-01-23,1.712,2.392,3.195,4.081
1998-01-26,1.678,2.386,3.213,4.087
1998-01-27,1.658,2.342,3.156,4.038
1998-01-28,1.622,2.328,3.15,3.959
1998-01-29,1.613,2.33,3.163,3.956
1998-01-30,1.583,2.256,3.084,3.917
1998-02-02,1.621,2.269,3.068,3.975
1998-02-03,1.642,2.282,3.072,3.961
1998-02-04,1.569,2.233,3.045,3.938
1998-02-05,1.539,2.228,3.056,3.962
1998-02-06,1.531,2.235,3.076,4.003
1998-02-09,1.531,2.235,3.076,4.003
1998-02-10,1.523,2.199,3.032,3.979
1998-02-11,1.519,2.168,2.998,3.991
1998-02-12,1.487,2.128,2.963,3.954
1998-02-13,1.379,2.079,2.938,3.926
1998-02-16,1.333,1.994,2.851,3.917
1998-02-17,1.255,1.92,2.794,3.876
1998-02-18,1.309,1.973,2.84,3.875
1998-02-19,1.307,1.996,2.901,3.949
1998-02-20,1.328,2.023,2.908,3.939
1998-02-23,1.322,1.986,2.86,3.913
1998-02-24,1.33,2.018,2.9,3.935
1998-02-25,1.347,2.053,2.94,3.953
1998-02-26,1.363,2.043,2.902,3.927
1998-02-27,1.369,2.084,2.964,3.936
1998-03-02,1.36,2.082,2.976,3.953
1998-03-03,1.375,2.095,2.993,3.98
1998-03-04,1.485,2.157,3.023,4.004
1998-03-05,1.524,2.195,3.079,4.107
1998-03-06,1.471,2.179,3.08,4.103
1998-03-09,1.518,2.203,3.088,4.111
1998-03-10,1.597,2.167,3.047,4.091
1998-03-11,1.551,2.1,2.933,3.982
1998-03-12,1.518,2.056,2.851,3.89
1998-03-13,1.518,2.056,2.851,3.89
1998-03-16,1.446,2.033,2.854,3.832
1998-03-17,1.5,2.064,2.878,3.861
1998-03-18,1.53,2.088,2.913,3.911
1998-03-19,1.621,2.164,2.993,4.023
1998-03-20,1.686,2.208,3.048,4.101
1998-03-23,1.683,2.224,3.036,4.082
1998-03-24,1.66,2.177,2.986,4.044
1998-03-25,1.631,2.163,2.977,4.035
1998-03-26,1.674,2.198,2.996,3.996
1998-03-27,1.702,2.195,3.019,4.036
1998-03-30,1.736,2.268,3.084,3.979
1998-03-31,1.758,2.313,3.109,4.065
1998-04-01,1.784,2.299,3.1,4.035
1998-04-02,1.854,2.381,3.126,4.086
1998-04-03,1.781,2.298,3.051,4.065
1998-04-06,1.762,2.279,3.035,4.028
1998-04-07,1.828,2.404,3.154,4.026
1998-04-08,1.925,2.416,3.14,4.056
1998-04-09,1.936,2.451,3.199,4.06
1998-04-10,1.936,2.451,3.199,4.06
1998-04-13,1.936,2.451,3.199,4.06
1998-04-14,1.87,2.424,3.184,4.002
1998-04-15,1.951,2.415,3.197,4.018
1998-04-16,2.036,2.493,3.29,4.048
1998-04-17,2.029,2.504,3.266,4.011
1998-04-20,2.021,2.483,3.26,4.064
1998-04-21,1.995,2.53,3.314,4.109
1998-04-22,1.947,2.509,3.317,4.115
1998-04-23,1.947,2.509,3.317,4.115
1998-04-24,1.947,2.509,3.317,4.115
1998-04-27,1.974,2.571,3.356,4.222
1998-04-28,2.003,2.573,3.335,4.298
1998-04-29,2.075,2.567,3.411,4.183
1998-04-30,1.981,2.585,3.344,4.255
1998-05-01,1.981,2.585,3.344,4.255
1998-05-04,1.979,2.482,3.224,4.191
1998-05-05,1.935,2.514,3.256,4.209
1998-05-06,1.957,2.559,3.313,4.25
1998-05-07,1.892,2.528,3.293,4.172
1998-05-08,1.889,2.52,3.288,4.184
1998-05-11,1.928,2.512,3.257,4.212
1998-05-12,2.008,2.576,3.324,4.244
1998-05-13,1.978,2.539,3.29,4.212
1998-05-14,1.964,2.513,3.265,4.209
1998-05-15,1.942,2.517,3.262,4.209
1998-05-18,1.942,2.517,3.262,4.209
1998-05-19,1.969,2.506,3.237,4.188
1998-05-20,1.957,2.493,3.228,4.186
1998-05-21,1.957,2.493,3.228,4.186
1998-05-22,2.002,2.514,3.214,4.195
1998-05-25,2.003,2.517,3.218,4.197
1998-05-26,1.989,2.491,3.198,4.213
1998-05-27,1.989,2.491,3.198,4.213
1998-05-28,1.946,2.454,3.168,4.173
1998-05-29,1.921,2.461,3.179,4.137
1998-06-01,1.921,2.461,3.179,4.137
1998-06-02,1.921,2.461,3.179,4.137
1998-06-03,1.949,2.44,3.169,4.152
1998-06-04,2.029,2.501,3.226,4.19
1998-06-05,2.065,2.504,3.228,4.172
1998-06-08,2.07,2.49,3.22,4.192
1998-06-09,2.09,2.512,3.249,4.176
